month	surviving_creations
200101	156
200102	327
200103	531
200104	582
200105	1070
200106	392
200107	761
200108	1407
200109	2239
200110	3293
200111	2260
200112	1689
200201	1497
200202	8350
200203	2460
200204	1701
200205	1632
200206	2735
200207	2785
200208	4522
200209	8823
200210	37437
200211	5129
200212	4386
200301	5777
200302	4773
200303	5217
200304	5263
200305	6074
200306	5972
200307	9507
200308	7595
200309	8401
200310	6985
200311	8778
200312	10714
200401	10843
200402	14913
200403	19954
200404	17940
200405	17175
200406	17860
200407	20479
200408	20516
200409	20790
200410	23209
200411	26315
200412	25862
200501	23034
200502	20939
200503	27427
200504	31662
200505	32015
200506	35373
200507	44347
200508	46033
200509	39118
200510	46221
200511	43867
200512	46761
200601	52375
200602	46750
200603	52603
200604	50024
200605	53524
200606	54906
200607	63378
200608	65665
200609	53744
200610	51490
200611	51316
200612	50461
200701	53594
200702	51118
200703	52078
200704	50609
200705	50662
200706	50173
200707	69219
200708	62714
200709	48685
200710	44737
200711	43114
200712	48780
200801	52859
200802	57682
200803	57123
200804	43724
200805	43138
200806	41057
200807	51605
200808	57115
200809	34777
200810	43394
200811	35617
200812	39267
200901	44636
200902	42711
200903	53726
200904	44046
200905	38531
200906	35580
200907	46447
200908	46106
200909	31967
200910	34642
200911	32035
200912	35144
201001	37409
201002	31489
201003	32524
201004	39661
201005	33972
201006	30747
201007	31820
201008	36504
201009	33314
201010	30933
201011	34023
201012	30420
201101	31691
201102	26946
201103	28943
201104	27114
201105	26411
201106	26067
201107	28184
201108	31083
201109	32635
201110	30876
201111	27782
201112	26169
201201	28158
201202	26811
201203	26646
201204	28893
201205	33196
201206	30599
201207	32210
201208	28824
201209	25655
201210	25935
201211	24032
201212	27233
201301	26714
201302	23116
201303	26048
201304	27029
201305	25610
201306	26369
201307	26111
201308	26307
201309	23626
201310	28441
201311	27032
201312	25516
201401	28456
201402	27163
201403	25143
201404	23708
201405	24367
201406	23513
201407	28578
201408	25430
201409	23581
201410	27297
201411	26540
201412	23973
201501	27934
201502	24365
201503	25876
201504	24019
201505	23477
201506	24198
201507	26863
201508	26018
201509	21827
201510	24115
201511	23098
201512	23227
201601	26626
201602	24374
201603	25086
201604	24079
201605	26840
201606	21796
201607	22971
201608	23873
201609	26488
201610	24203
201611	3711
